SAPT_Induction,MD_Induction,DimerID
-7.687599999999999512e-04,-7.357217788863175834e-04,3.530000000000000000e+02
-1.953500000000000050e-04,-1.595160388111461732e-04,3.550000000000000000e+02
-2.615699999999999774e-04,-2.198094608395500962e-04,3.560000000000000000e+02
-1.026200000000000034e-04,-8.948715294365434253e-05,3.570000000000000000e+02
-1.416699999999999904e-04,-1.114776661168551054e-04,3.580000000000000000e+02
-3.664100000000000104e-04,-3.185784222433690922e-04,3.590000000000000000e+02
-6.167470000000000417e-03,-5.064097809035251162e-03,3.600000000000000000e+01
-1.846200000000000044e-04,-1.889160925792709555e-04,3.600000000000000000e+02
-7.226999999999999754e-05,-7.160784999193410419e-05,3.610000000000000000e+02
-2.671999999999999896e-04,-2.172529199362577582e-04,3.620000000000000000e+02
-1.139699999999999947e-04,-8.980498742528671423e-05,3.630000000000000000e+02
-1.338199999999999893e-04,-1.157289173121247791e-04,3.640000000000000000e+02
-5.755000000000000295e-05,-6.325824678285818319e-05,3.650000000000000000e+02
-4.104299999999999854e-04,-4.348118788507137288e-04,3.660000000000000000e+02
-1.856399999999999912e-04,-1.626926215627053107e-04,3.690000000000000000e+02
-2.562615000000000032e-02,-1.928583764013248880e-02,3.700000000000000000e+01
-9.339999999999999344e-05,-1.022371300885547055e-04,3.700000000000000000e+02
-1.565399999999999886e-04,-1.916568635265708965e-04,3.710000000000000000e+02
-1.166299999999999997e-04,-9.023369179993881504e-05,3.730000000000000000e+02
-1.243799999999999984e-04,-1.519783973931276421e-04,3.750000000000000000e+02
-1.830000000000000029e-04,-1.506002038363324445e-04,3.770000000000000000e+02
-9.327000000000000655e-05,-1.069585289737833564e-04,3.790000000000000000e+02
-2.090339999999999906e-02,-1.740483839984420869e-02,3.800000000000000000e+01
-1.758300000000000021e-04,-1.777815344836832347e-04,3.800000000000000000e+02
-6.119000000000000199e-05,-6.492095309260393905e-05,3.820000000000000000e+02
-1.328599999999999985e-04,-1.103304653942803872e-04,3.830000000000000000e+02
-1.742500000000000071e-04,-1.468581167413531116e-04,3.840000000000000000e+02
-2.168399999999999907e-04,-1.855833343926470511e-04,3.850000000000000000e+02
-1.367800000000000016e-04,-1.053896448951032242e-04,3.860000000000000000e+02
-1.766000000000000100e-04,-1.662487953167065332e-04,3.870000000000000000e+02
-2.017699999999999876e-04,-2.540116350593548799e-04,3.880000000000000000e+02
-1.342199999999999990e-04,-1.131135181717819439e-04,3.890000000000000000e+02
-1.203759000000000079e-02,-1.017435880902768999e-02,3.900000000000000000e+01
-1.747599999999999870e-04,-1.789448879252123327e-04,3.900000000000000000e+02
-5.759000000000000257e-05,-6.340044212360942066e-05,3.910000000000000000e+02
-1.589799999999999991e-04,-1.315245863447561106e-04,3.930000000000000000e+02
-2.240599999999999927e-04,-2.495476992666571933e-04,3.960000000000000000e+02
-2.147299999999999990e-04,-1.988422903277695477e-04,3.970000000000000000e+02
-1.625684590000000096e+00,-8.633654346313068828e-01,4.000000000000000000e+00
-5.177140000000000214e-03,-4.490705461306691848e-03,4.000000000000000000e+01
-7.789999999999999616e-05,-8.567354462361032063e-05,4.010000000000000000e+02
-2.112000000000000108e-04,-1.720042726321548501e-04,4.020000000000000000e+02
-1.934899999999999923e-04,-1.933920403886348950e-04,4.030000000000000000e+02
-1.324999999999999952e-04,-1.229323636103686699e-04,4.040000000000000000e+02
-1.390100000000000125e-04,-1.244706986001327181e-04,4.050000000000000000e+02
-9.125799999999999667e-04,-9.275932809160443264e-04,4.100000000000000000e+02
-1.536599999999999891e-04,-1.383882131384788752e-04,4.120000000000000000e+02
-5.921999999999999882e-05,-6.478372319279971910e-05,4.130000000000000000e+02
-7.597300000000000190e-04,-7.767553668623299696e-04,4.140000000000000000e+02
-1.005800000000000026e-04,-7.624720247254784605e-05,4.160000000000000000e+02
-1.823899999999999935e-04,-1.418301341427647831e-04,4.170000000000000000e+02
-6.401000000000000548e-05,-7.651944429755594380e-05,4.180000000000000000e+02
-7.189999999999999939e-05,-5.885073424942205336e-05,4.200000000000000000e+02
-1.622000000000000124e-04,-1.330511758027529677e-04,4.210000000000000000e+02
-7.169999999999999453e-05,-8.536471372902606700e-05,4.220000000000000000e+02
-7.587999999999999856e-05,-8.780978851595858115e-05,4.230000000000000000e+02
